iter	Passed	Remaining
0	804	160112
1	1529	151412
2	3116	204631
3	4187	205200
4	5554	216629
5	6423	207683
6	7208	198749
7	7761	186284
8	8510	180610
9	9297	176657
10	9764	167777
11	10360	162311
12	10610	152633
13	10721	142442
14	10830	133572
15	10942	125841
16	11057	119027
17	11173	112976
18	11279	107449
19	11386	102481
20	11755	100198
21	12094	97854
22	12249	94268
23	12431	91162
24	12607	88250
25	12764	85426
26	12876	82506
27	12991	79803
28	13115	77333
29	13226	74950
30	13339	72724
31	13461	70672
32	13586	68758
33	13887	67805
34	14146	66689
35	14308	65184
36	14415	63505
37	14582	62165
38	14684	60620
39	14814	59258
40	14935	57920
41	15066	56677
42	15192	55470
43	15313	54293
44	15494	53369
45	15736	52683
46	15869	51661
47	16000	50666
48	16211	49956
49	16435	49306
50	16604	48510
51	16753	47682
52	16887	46837
53	17005	45977
54	17122	45140
55	17239	44331
56	17355	43541
57	17465	42759
58	17590	42037
59	17707	41316
60	17852	40680
61	17987	40037
62	18135	39438
63	18285	38856
64	18435	38288
65	18584	37731
66	18699	37120
67	18814	36521
68	18932	35945
69	19038	35357
70	19152	34797
71	19537	34733
72	19902	34624
73	20007	34066
74	20095	33491
75	20196	32951
76	20291	32414
77	20380	31876
78	20471	31354
79	20582	30874
80	20694	30403
81	20815	29953
82	20960	29546
83	21070	29097
84	21187	28665
85	21304	28241
86	21436	27842
87	21565	27447
88	21696	27059
89	21818	26666
90	21952	26295
91	22096	25939
92	22241	25589
93	22375	25231
94	22504	24873
95	22643	24530
96	22781	24191
97	22907	23842
98	23062	23528
99	23196	23196
100	23331	22869
101	23481	22560
102	23627	22251
103	23767	21939
104	23900	21624
105	24047	21324
106	24180	21016
107	24315	20713
108	24461	20422
109	24599	20127
110	24739	19835
111	24896	19561
112	25029	19270
113	25942	19570
114	26079	19275
115	26214	18982
116	26339	18685
117	26490	18408
118	26617	18117
119	26713	17808
120	26808	17503
121	26928	17216
122	27143	16991
123	27404	16796
124	27955	16773
125	28564	16775
126	29108	16731
127	29347	16508
128	29618	16301
129	29781	16035
130	29869	15732
131	29964	15436
132	30058	15142
133	30158	14854
134	30256	14568
135	30292	14255
136	30397	13978
137	30490	13698
138	30587	13423
139	30680	13148
140	30787	12882
141	30875	12611
142	30968	12344
143	31069	12082
144	31159	11819
145	31259	11561
146	31360	11306
147	31452	11050
148	31541	10796
149	31637	10545
150	31725	10295
151	31812	10045
152	31902	9800
153	31998	9557
154	32094	9317
155	32187	9078
156	32281	8841
157	32366	8603
158	32468	8372
159	32563	8140
160	32655	7910
161	32743	7680
162	32836	7453
163	32934	7229
164	33010	7002
165	33074	6774
166	33156	6551
167	33248	6333
168	33320	6112
169	33392	5892
170	33469	5676
171	33538	5459
172	33604	5244
173	33668	5030
174	33737	4819
175	33803	4609
176	33870	4401
177	33937	4194
178	34002	3989
179	34071	3785
180	34136	3583
181	34206	3383
182	34275	3184
183	34349	2986
184	34420	2790
185	34488	2595
186	34554	2402
187	34617	2209
188	34683	2018
189	34756	1829
190	34822	1640
191	34900	1454
192	34959	1267
193	35015	1082
194	35082	899
195	35143	717
196	35197	536
197	35255	356
198	35320	177
199	35384	0
0
